1st Choice Logistics LLC	FCOS
Llano Logistics Inc.	LLQG
LME Inc	LMEL
Load Boss Logistics Inc.	LBLN
Load King Transport Inc.	LKTE
Load One, LLC	LONE
Load Solutions Inc.: Load Solutions Inc.	LDSQ
Local Logistics LLC	N/A
LodeStar Transport Services, LLC.	LTAR
Logicorp Transportation LLC	LGCE
Logiflex	LFXI
Logistic One Ltd.	LTCO
Logistics One Transport, Inc.	LGOA
Logistics Trans West Inc.: Intermodal Division	TWLP
Logistics Trans West Inc.: Truckload Division	TWLP
Logix Transportation, Inc.	LGXT
Logos Logisitcs, Inc	LLIA
Lone Star Transportation, LLC: 90	LSST
Long Haul Trucking	LHLT
Longistics Transportation, Inc.	LTPS
Lotus Terminals Ltd.: Intermodal - Canada & USA	LTNL
Lotz Trucking, Inc.	LOTQ
Loyalty Transport Ltd	LOYP
LSO	LSOV
LTI Trucking Services, Inc.	LNNP
LTI, Inc.	LTIN
LTI, Inc.: Milky Way	LTIN
Ludwig Transport Limited	LWIG
Luga Transportation Inc: LUGA	LTPN
Lund Trucking Co. Inc.	LUTI
Lunkwitz Transportation Inc.: Lunkwitz	LNWT
Lynden Transport, Inc.: Flatbed	LTIA
Lynden Transport, Inc.: Reefer	LTIA
Lynden Transport, Inc.: Van	LTIA
Lyons Transportation Inc.	LYSR
M D Logistics LLC	MDLW
M Tapia Trucking	ZCVL
M&J Carriers LLC	MJCR
M&M Cartage Co, Inc.	MMCG
M&M Express Inc	MMXQ
M&M Transport Services, Inc.	MMQP
M&W Transportation Inc.: MWTC	MWTC
M. Bjorn Petersen Transportation, Inc.	PMBJ
M. Bruenger Truck Lines, Inc.	BRUA
M. Gerace Enterprise Inc.	GSFM
M. Madic, Inc.	MDIM
M2 Express LLC	MTWH
Mabe Trucking Co., Inc.	MABE
Mac Xpress LLC: domestic	MELK
Mach 1 Global Services, Inc.	MOAV
Mack Trucking Inc.	MKTW
Mackie Transportation Inc.: Auto Division	MCKG
MacKinnon Transport Inc.: Flatbed Operations	MKNO
MacMillan-Piper, Inc: Intermodal fleet	MMPI
Macton Express Ltd.	MEXP
MAF Expedited	HAFL
Magnum Companies--: DEDICATED	MGDE
Magnum Companies--: LTD	MGUL
Magnum Companies--: LTL	MGNL
Mahurin-Duvall Lines, Inc	MDLN
Major Transportation Services Inc.	MJTF
Manchester Motor Freight: Intermodal Drayage	MNCM
Manfredi Mushroom, Inc dba Manfredi Logistics Serv: Refrigerated Truck load & LTL	MFDI
Manito Transit, LLC	MTIQ
Manitoulin Transport	MANI
Mansur Trucking, Inc.	MSUT
Manuel Huerta Trucking, Inc.	N/A
MAP Transportation, Inc.	MPTO
Marathon Cheese Transport, LLC.	MCHV
Marathon Petroleum Company	MAOC
Marina Cartage, Inc.	MCMP
Marina Cartage, Inc.: MAT LEASING, INC.	MCMP
Marine Transport, Inc.	MRPJ
Mariner Distribution, Inc.	MARD
Mario's Ground Delivery Service LLC	N/A
Market Transport, Ltd.: Truck	MTLZ
Marks Transportation Inc.	MKSW
Martin Transportation Systems, Inc.: MTSTrans	MRLC
Martin's Bulk Milk Service Inc	MBMK
Martin-Brower of Canada Co.	N/A
Marvin Keller Trucking, Inc.	KMTN
Marx Distribution, Inc.	MRXD
Mary B. Turner Trucking Co., LLC	TUTB
Mast Trucking Inc.	MTUO
Mastar Supply Chain & Logistics, Inc.	MSCL
Material Transport: Sacramento	MLRQ
Material Transport: Tacoma	MLRQ
Matrix Expedited Service	MRES
Matths Trucking LLC	N/A
Maverick The Barbarian Transport, Inc.: Southern California	MVBT
Maverick Transportation LLC: Dedicated Services Division	MAVK
Maverick Transportation LLC: MAV IC Division	MAVK
Maverick Transportation LLC: Platform Division	MAVK
Maverick Transportation LLC: Temperature Control Division	MAVK
Mavron Transport Inc: Mavron Transport Inc	MVRN
Mawson and Mawson, Inc.	MAWS
Max Trucking LLC	MXAH
May Trucking Company	MAYT
Mayfield Transfer Co., Inc.	MFLD
Mayflower Transit/W.J. Donovan LLC	DWJA
Mayor Logistics, Inc.: Drayage Fleet	MYRG
MB Global Logistics Inc.	MBGB
MC America Transport LLC	MAPB
MC Carrier, Inc.	MCQC
MC Express LLC	MCXE
McArthur Express / Transport TFI 21	MTHV
MCCK Transportation Group Inc.	MCCW
McCollister's Transportation Group	MCCG
McConnell Transport Ltd.	MCNE
McCormick & McCormick, Inc.	MCCO
McCracken Motor Freight	MMFG
McElroy Truck Lines, Inc.	MLRT
McEwen Trucking, Inc.	MWEN
McFarland Truck Lines, Inc.	MCFG
McKevitt Trucking Limited	MKLD
McKimm Milk Transit, Inc.	MCKM
MCL McGill Carriers Ltd.: Ontario Fleet	N/A
MCL McGill Carriers Ltd.: Vancouver Fleet	N/A
McLeod Express, LLC	MLXO
McMullen Transportation, LLC	MMRB
McNay Truck Line	MCAY
MCO Transport, Inc.	MCOP
MCT Transporatation,LLC: Long Haul	MWCT
Medallion International LLC	MNIL
Medallion Transport & Logistics, LLC	MDXW
Medelez Inc.	MZIP
MedTrans, LLC	MEDA
Medway Trucking	MWYK
Mega Fleet Corp	MFCE
Mega Transportation Services LLC: MGXV	MGXV
Meiborg Inc.: Meiborg Brothers	MEBR
Meiborg Inc.: Silver Arrow Express	SIAW
Meijer Logistics LLC	MEIJ
Melton Truck Lines, Inc	MTLA
Mercer Transportation Company	MCET
Mercury Services, Inc.	MCVY
Meredith Enterprises Inc.	N/A
Mergenthaler Transfer and Storage Co.: Household Goods	MRGQ
Mergenthaler Transfer and Storage Co.: MTS Freight/Linehaul	MRGQ
Mergenthaler Transfer and Storage Co.: MTS Freight/Pickup and Delivery	MRGQ
Mergenthaler Transfer and Storage Co.: Special Contracts	MRGQ
Merx Global, Inc.	MBAL
Mesa Systems, Inc.	MEMQ
Mesilla Valley Transportation	MSLV
Metraco Transportation Company	MTUN
Metro Parcel & Freight, Inc.	MPNF
Metropolitan Trucking	MTRK
Mhart Express, Inc.	MHRE
Michigan Produce Haulers Inc.	MPHF
Mid Atlantic Xpress, Inc.	MAXH
Mid Continent Trucking Co.	MDCN
Mid South Transport, Inc.	MSOH
Mid-American Specialized Transport	MAZT
Midland Transport Limited: Greenline Fleet	MDLD
Midland Transport Limited: Linehaul General Fleet	MDLD
Midland Transport Limited: Michelin Fleet	MDLV
Midnite Express Inc	MDEB
Midwest Continental, Inc.	MWCI
Midwest Courier Inc.	MDWO
Midwest Expedited Carrier Corporation	MEJH
Midwest Express, Inc.	MWEP
Midwest Express, Inc. (Wisconsin)	MWXP
Midwest Freight Systems Corp	MWFP
Midwest Motor Express, Inc.	MIDW
Midwest Specialized Transportation, Inc.	MHTC
Mike Tamana FreightLines LLC.	TMFL
Miky Transport Co Inc	MIKT
Milan Supply Chain Solutions Inc.: Truckload	MLXP
Mile Hi Foods Co.	MHFF
Mile Hi Specialty Foods	MHIQ
Mile High Transportation Services Inc: Mile High Transportation Services Inc	MHTN
Mill Creek Motor Freight L.P.	MCJE
Millennial Transport Services LLC	MLTB
Miller Brothers Express L.C.	MBFY
Miller Intermodal Logistics Services, Inc.	MLIV
Miller Transfer & Rigging Co.	MTRR
Miller Transporters, Inc.	MITN
Miller Truck Lines, LLC	MTUC
Miller Trucking Corporation	MITO
Millhouse Logistics Inc	MLQI
Milliken & Company	MILL
Millis Transfer, Inc.	MTNF
Minimax Express Transport Inc.: Cornwall	MNME
Minn-Tex Express, Inc.	MTXS
Minnesota Valley Transport, Inc.	MNVY
Minstar Transport	MSFM
Mirage Freight & Logistics Services LLC	MFGR
Mister P Express, Inc.	MPXI
MJ Gutierrez Trucking	ZEIJ
MMS Logistic Services	MDMB
MN Express Inc.	MNEH
Mobile Air Transport Inc.	N/A
Modern Forwarding Inc.	MDFL
Modern Transportation Services, LLC: Modern Transportation Services	MDTS
Moe's Transport Trucking: Moe's Canadian Fleet	MUOE
Moeller Trucking Inc	METG
Moeller Trucking, Inc. (Iowa)	MOEE
Mohawk Carpet Transportation of GA LLC: Fleet	MHKC
Mohawk Services Inc.	MHWK
Monarch Transport (1975) Ltd.: 004 Canadian Division	MNCT
Monarch Transport (1975) Ltd.: 015 US Division	MNCT
Mont's On-Time Express Inc.	MHDM
Montana Brand Produce	MBPC
Moore Transport of Tulsa LLC.	MTUP
Morrice Transportation	EETE
Morris Transportation, Inc.	MOTD
Morrison Trucking	N/A
Morristown Driver's Service, Inc.	MDSV
Morrow Trucking Company	N/A
Moser Trucking Inc	MSRK
Motor Car Auto Carriers	MCAR
Motor Carrier Service LLC	MOAA
Mountain River Trucking Co., Inc.	MRVT
Mountain Transport Corp.	MNTT
Mountain Valley Express Co., Inc	N/A
Moutrie Trucking LLC	MTQL
MOV Trucking	N/A
Moxie Transport, Inc.: 1	MOXO
MPW Industrial Water Services	N/A
Mr. Bult's, Inc.	MBLT
MRM Specialized Trucking Inc	MRMC
MTL Transportation LLC	N/A
Mullen Trucking LP: Dedicated	MULM
Mullen Trucking LP: Heavy Licensed/Specialized	MULM
Mullen Trucking LP: Medium Licensed/Truck Load	MULM
Munoz Trucking Inc	MNZG
Murphy Transportation, Inc.	MUTP
Mustang Express LTD	MGXE
Mutual Materials Company	MLMC
Myers Transport Inc	MYTI
Myers Trucking, Inc.	MYRJ
N&M Transfer Co., Inc.: Expedited	NMFT
N&M Transfer Co., Inc.: Transfer	NMTF
Nadar Transport LLC	NDTS
Nagle Toledo Inc	NGTI
NAPA Transportation, Inc.	NPAT
National Carriers, Inc.: Livestock Division	NALC
National Carriers, Inc.: Reefer Division	NALC
National Delivery Systems, Inc.	NDSN
National Expedited Freight, Inc	NEFT
National Retail Systems, Inc.: Keystone Freight Corp.	KYSO
National Retail Systems, Inc.: Mystic Island Transport	MYIL
National Retail Systems, Inc.: National Retail Transportation, Inc.	NART
Nations Finest Transports Inc.	N/A
Nationwide Express Inc: NAWE	NAWE
Nationwide Express Inc: NDS	NDS
Nationwide Transportation, Inc.	NTWD
Nationwide Truck Brokers, Inc.	NATW
Navajo Express, Inc.	NAVE
Navasota Trucking, Inc	NVKN
NCI Group, Inc.	NCIG
NDS	NDSV
Nealon Transportation Inc	NLON
Nebraska Transport Company Inc.	NEBT
Nello Pistoresi & Son, Inc	PNEO
NEP Supershooters: NEP	NEPS
Nestle Transportation Company	NSLE
Net Freight System Inc.: Net Freight System Inc.: Dry Van Division	NFSY
Net Freight System Inc.: Net Freight System Inc.: Refrigerated Division	NFSY
New Bern Transportation	NBTC
New England Motor Freight	NEMF
New Era Truck Line Inc	N/A
New Generation Truck Inc.	NWGK
New Legend Inc dba Legend Transportation	LEGS
New Line Transport, LLC	NLNP
New South Express, LLC: Over The Road	NSES
New South Express, LLC: Straight Truck	NSES
New South Express, LLC: Yard	NSES
New Wavery Transportation: NWT	NWWV
New World Van Lines	NWIL
New-Way Trucking ltd.	N/A
Newcomb Warehouse, Inc.	NEFG
Newport Traffic and Logistics LLC	NWRC
Nexeo Solutions: Fleet	NSLC
NFI: NFI Canada	NFCA,NFCB
NFI: NFI Transportation	NFIL,NFAV,NFBR,NFCV,NFIA,NFIH,NFIV,NFTG,NAFT,NAFQ,NFIV
NHH Services LLC	NNHS
Niagara Logistics, Inc.,	NIRA
Nichols Trucking Co., Inc.	NCLS
Nick Walton Trucking LLC	N/A
Nickels Cartage Co. LTD	NKCK
Niece Trucking, Inc.	NTBB
Night Train Trucking, Inc	NTTK
Nijjar Trucking Ltd.	NJTL
NKC Transportation, Inc	NKCN
NKRS Trucking	NKRS
Noble Delivery, LLC	NDEY
Noel Transportation Corp	NLTS
Norco Corporation: Fleet 1	NCOC
Nordic Logistics, LLC.	NDIC
Normandin Transit Inc.: Normandin Transit inc.	NRMA
Normandin Transportation Services, Inc.	NTVY
Norsemen Trucking, Inc.	NOTG
North American Transport Services	NAAF
North Bay Distribution & Transportation	NBDN
Northeast Foods, Inc.	N/A
NORTHERN NECK TRANSFER, INC: NONT	NONT
Northern Refrigerated Transportation, Inc.	NRRF
Northfield Trucking Company, Inc.	NFTR
NorthShore Transportation Co., Inc.	NOHE
Northwest Food Products Transportation LLC	N/A
Northwest Transportation Inc.	NHWN
Northx Logistics Ltd.	NXLD
Novex Delivery Solutions	NOVX
NTA, Ltd.	NTAH
Nu-Way Transportation Services, Inc.: Local Delivery	NUWT,NWSD
Nu-Way Transportation Services, Inc.: Local Shuttle/Spotting	NUWT
Nu-Way Transportation Services, Inc.: Local Straight Truck Delivery	NUWT
Nu-Way Transportation Services, Inc.: Regional Delivery	NUWT,NWSD
NU-Way, Inc.	NUWA
Nussbaum Transportation Services, Inc.	NUST
NV Transport Inc: 1	NVTQ
O'Brien Transportation, Inc.	OBTR
Oak Harbor Freight Lines	OAKH
Oakhurst Dairy	N/A
Oakley Transport, Inc.: Liquid Food Grade	OKLE
Oakwood Transport: 12850867	OKWT
Oberg Freight Company	OBRG
OCS Transport Services, Inc.	OCSP
Office Depot, Inc.	OCIQ
Ohio Transportation Group Services	DSLR
OIX, Incorporated dba OrTran Express	OIXI
Old Dominion Freight Line, Inc.	ODFL
Olymel, S.E.C.: Transbo-ADS	S/O
Olymel, S.E.C.: Transbo-Local	S/O
Olymel, S.E.C.: Transbo-Longue distance	S/O
Olympian Group Systems Inc	OGSY
Olympic Freightlines, Inc	OYFI
Omada Worldwide Expedite Inc.	OWED
Omega Trucking, Inc.	OMGG
On Time Logistics Inc.	OTAO
On Track Transportation, Inc.	OTKT
On-Dekk Transportation LLC: 2015 Fleet	ODTP
One World Logistics of America, Inc.	ONEW
Onfreight Logistics / Div. 1266192 Ontario Limited	OTLO
Online Transport, Inc.	OLIN
OnTrac / Express Messenger Systems, Inc.	EMSY
OpenRoad Trucking	OTAT
Orchard Supply Company LLC	N/A
Orchard's Logistics LLC	N/A
Orest Express Inc.	OEXR
Orgil Auto Inc: Auto Carrier	XORG
OS TVM Logistics Co.	OSTG
Osborn & Son Trucking Co., Inc.	OSBS
Oscar Moving, Inc.	N/A
Osterkamp Trucking, Inc.	OSKP
Otto Transfer, Inc.	OTRF
OutWest Express, LLC.	OWEL
Overbye Transport Inc.	OVRB
Overseas Financial Institure, Inc.	OFII
Ovie Logistics Express	OVLE
Owens & Minor Distribution, Inc.	OWMN
Ozark Motor Lines, Inc.	OZRK
P & S Transportation	PSTO
P and L Express, Inc.	PLXB
P&B Transport	PBTP
P.E. Kramme, Inc.	KRME
Pacific 9 Transportation, Inc	PCNT
PACIFIC CASCADE TRUCKING, LLC: drayage	PCIK
Pacific Coast Distribution Ltd.	PCDI
Pacific Functional Fluids: Tanker Transport Service	PFUF
Pacific Logistics Corp Expedited: PLCX	PFLP
Pacific Ocean Transport Ltd: Hummer Freightways Ltd	HFYL
Pacific Ocean Transport Ltd: Pacific Ocean Transport	PAOC
Pacific Shipping & Trucking Co., Inc.	PFSG
Pacific Western Transportation, Inc.	PWTW
Packard Transport, Inc.: Flatbed 8A	PKDS
Packard Transport, Inc.: Flatbed 8B	PKDS
Packard Transport, Inc.: Van	PKDS
PAF Transportation Inc.	POAF
Page Transport	PGTS
Palmer Moving and Storage: Local	PMRQ
Palmer Moving and Storage: NAVL	NACL
PAM Transport, Inc.	PAMT
Pambros Transport Corp.	PAMB
Pan American Express, Inc.	PAXI
Panther Premium Logistics, Inc.	PTWT
Panther Transport, Inc.	PTSC
Papa Joe Trucking, LLC	PPJO
Paper Transport Inc	PAPT
Papineau International, S.E.C.	PAPI
Parish Transport LLC	PLH
Park Transportation Inc.: Chicago	PNBS
Parke Cox Trucking Company, Inc.	CXPT
Parkway Transport, Inc.	PDIT
Parrish Dedicated Services LLC: Parrish Dedicated Services	PDSN,PDSB
Paschall Truck Lines, Inc.: PTL	PASC
Pasquale Trucking Co., Inc.	PASQ
Pat Fruth, Inc.	FPIT
Pat Walker Trucking, LLC: 01	WKPT
Patriot Logistics, Inc.	PATG
Pattar Transport	PRXM
Paul Transportation, Inc. Flatbed	PATT
Paul's Hauling Ltd.	PHLD
Paxton Van Lines Inc.	PAXT
Payne Transportation L.P.	PAYT
Peace Transportation	PTNN
Peak Transportation Solutions, Inc.	PTSO
Pearl Global Logistics	PEAI
Pegasus Transportation	PGSI
PEI, Inc.	PEIC
Pella Corporation	AA32
Peninsula Truck Lines, Inc.	PENS
Peninsula Trucking, Inc.	PUTB
Penner International Inc.	PTSL
Penns Best, Inc.	PENM
Penske Logistics, LLC: Drayage	PSKL
Penske Logistics, LLC: Dry Van	PSKL
Penske Logistics, LLC: Flatbed	PSKL
Penske Logistics, LLC: Refrigerated	PSKL
PepsiCo Beverages Canada: Pepsi Canada East	PBGT
PepsiCo Beverages Canada: Pepsi Canada Ontario	PBGT
PepsiCo Beverages Canada: Pepsi Canada West	PBGT
Perdue Transportation, Inc.	PDTS
Performance Logistics 2010 Inc.	PQGC
Performance Team dba Gale Triangle	GLTN
Performance Transportation Corp	PTBV
Performance Trucking, Inc	PFTK
Perishable Distribution Solutions, Inc.	PDSO
Pethick Trucking Inc.	PTKA
PGT Trucking Inc.: Flatbed	PGTT
Phase II Transportation	PHSN
Phase II Transportation	PHSN
Phoenix PDQ, Inc.	PPDQ
PHX Transportation Freight Corporation	PXTT
Pier Enterprises Group Inc, dba DC Logistics: Dedicated contract	N/A
Pier Enterprises Group Inc, dba DC Logistics: Expedited	N/A
Pier Enterprises Group Inc, dba DC Logistics: LTL services	N/A
Pier Enterprises Group Inc, dba DC Logistics: Truckload services	N/A
Pike Distributors, Inc.	PIKE
Pinnacle Trucking LLC	PNKA
Pioneer Freight LTD	PFRE
Pioneer Transportation, Ltd.	PNRI
Pitt Ohio	PITD
Pival International Inc. dba Pival Expedite: Expedite	PVIQ
Plains Dedicated Express LLC	PDEP
Plains Transportation	PLAS
Planchers Mercier: Planchers Mercier	ND
Plata Transport LLC	N/A
Pleasant Trucking Inc.	PLSA
Pocono Coast West LLC	PCWC
Pohl Transportation, Inc.	POHP
Point Dedicated Services	PLOG
Polar Express Transportation LTD	PESO
Polaris Transport Carriers Inc.	POLT
Pole Star Transport Inc.	PSTC
Port Logistics Group	PLGM
Portage Transport Inc	PORT
Postal Fleet Services, Inc.	PFSI
Potato King Transportation	PKTW
Potter Transportation, Inc	PTGB
Pottle's Transportation, LLC	PTES
Powerline Freight Systems, Inc.	PWFS
Powers Livestock Transport Ltd	PWLV
Preferred Cartage Service Inc-	PCGV
Premier Logistics, LLC	PMLO
Premier Transportation, Inc	PTAG
Premium Transportation Logistics, LLC	PMUC
Pride Group Logistics Ltd: Pride Group Logistics	PGPS
Pride Transport Inc.	PRQT
Primary Transportation: Dedicated	PMYT
Primary Transportation: OTR	PMYT
Primary Transportation: Sand & Bond	PMYT
Prime, Inc.: EcoFeather	PRIJ
Prime, Inc.: Flatbed	PRIJ
Prime, Inc.: Reefer	PRIJ
Prime, Inc.: Tanker	PRIJ
Prins Trucking Inc.	PRNT
PRNN, Inc.	PRNC
Pro Transport & Leasing	PRLG
Product Distribution Company	PDCM
Productive Transportation Carrier Corp.	PDTC
Professional Auto Transport, Inc.	PUCO
Proficient Auto Transport	PUGH
Progressive Logistics, Inc. DBA Giltner, Inc.	PGLJ
Progressive Transportation LLC	PGVE
Promax Transport Ltd	PMXD
Pronto Freight Ways Inc.	PRFW
ProQuality Transportation & Logistics Services LLC	PQTL
Prosport Express Inc	NONE
Proud 2 Haul, Inc	PTHI
PRT, Inc.	RAYG
PTG Logistics, LLC	PTGO
Purdy Brothers Trucking, LLC	PUBO
Pure Transportation LLC: Automotive Expedite Group - OEM	PTAM
Putnam Trucking, Inc.	PUNM
PV Transport, Inc.: Livehaul	PVTI
PV Transport, Inc.: Refrigerated	PVTI
PVH Corp	N/A
Pyramid Trucking, Inc	PYRH
Q Carriers, Inc.	QCAI
Q-Line Trucking Ltd.	QNGF
QLS Logistic Services, LLC: dba US IntermodaLogistics	USML
Quality Trucking Inc	QTKI
Quest Global, Inc.	QSTG
Quest Liner, Inc.	QLIC
Quick-Way, Inc.	QKWA
Quickway: Carriers	QKWI
Quickway: Transportation	QWYT
Quik-X Transportation	QXTI
R & M Transportation LLC	RNMR
R & R Express Inc	RRXM
R C Moore Inc.	MMRC
R&R Transporation, Inc.	RNRJ
R. E. West, Inc.	WSRE
R. O. Harrell, Inc.	HRRL
R.B. Humphreys, Inc.	HUMR
R.C. McEntire Trucking	MEKQ
R.E. Garrison Trucking, Inc.	GRTV
R.G.E. Truck Lines Inc.	RGEB
R.S. HARRIS TRANSPORT LTD: Long-haul	HRSD
R.S. HARRIS TRANSPORT LTD: Short-haul	HRSD
Rabbit River Transport II llc	RBRV
Raider Express, Inc.	RDXO
Railport Services Inc.	RSIQ
Rains and Sons Transportation, LLC	RASY
Raja Road Rail Services Ltd.	RRSL
Ralph Meyers Trucking Inc.	MEYC
Ralph Moyle, Inc.	MOYL
Ramar Transportation Inc.	RRXI
Ramler Trucking Inc.	RMLT
Rands Trucking Inc.	RNTG
Rapid Transport, Inc.	RPTJ
Raveill Trucking Inc	RVLK
Raven Transport	RVTI
Raymond Corcoran Trucking, Inc.	CRMD
RBX, Inc.: RBX INC	RBEE
RDF Logistics, Inc.	RDFG
RDK Transportation Co Inc: Deck Division	RDKS
RDS Transport, Inc.	RDRT
Ready Trucking, Inc.	RDYT
Red Line Freight Systems	RFSD
Red Line Inc	RDLN
Red Line Logistics Inc.	RENL
Red Rose Transport Service Inc.	N/A
Redbone Trucking Inc	RBKS
Redding Lumber Transport, Inc.	REDP
Redford Truck Line	REDT
Reed Trucking Company: Fleet	REET
Refrigerated Food Express, Inc.	REFE
Refrigerated Transport Inc.	REFR
Regal Service Company	RGLS
Regency Transportation Inc.	RGNT
Reid Petroleum Corp.	RDPM
Reliable Transportation Specialists Inc.	RELT
Reliance Intermodal, Inc	RIMD
Reliance Transportation, Inc.	RLNT
Remco Forwarding Ltd.	RFOW
Reo Distribution Services, Inc.: Dry Freight Division	RE00
Republic Express Inc	REPE
Revere Transportation Solutions, LLC: TL	RVTQ
RGL	CKLO
Richard L Hodges Inc	HGRL
Ricoh USA, Inc.	N/A
Ride Hard Express, LLC	N/A
Rideway Transport Inc.	RIDY
Riedemann Transport Inc.	RMXG
Rig Logistics Inc	RIGQ
Risinger Bros Transfer	RISN
Ritter Transport, Inc.	RTIN
River Valley Express, LLC	RVXR
Riverside Transport, Inc	RVTS
RJ and Sons LLC	RASE
RJR Transportation: Canadian Fleet	RJRP
RJR Transportation: US Fleet	RJRT
RJW Transport, Inc.	RJW1
RM Trucking, Inc.	RMNG
RML Transport LLC	RMLI
ROA Delivery Services LLC	N/A
Road Scholar Transport	RSCA
RoadOne IntermodaLogistics: Central	RLUM
RoadOne IntermodaLogistics: East	RDLK
RoadOne IntermodaLogistics: New England	RKNE
RoadOne IntermodaLogistics: South	RDKA
RoadOne IntermodaLogistics: West	RLUP
Roadrunner Intermodal Services LLC	RRIS
RoadStar Carrier Inc.: Continental Trucking Inc.	CQTK
RoadStar Carrier Inc.: EMCEA Transport	EMCV
RoadStar Carrier Inc.: RoadStar Trucking	RDSC
Roadstar LLC	ROFE
Roadway Transport Corp	RWYR
Robert Bearden, Inc.	BNRP
Robert Heath Trucking, Inc.	HETH
Robin Hood Container Express, Inc.	RBHC
Robin International Transport	RITI
Robinson + Sons Trucking, Inc.	RSTJ
Rocha Transportation	RCEL
Rock Transfer & Storage, Inc.: Local	RCKS
Rock Transfer & Storage, Inc.: OTR	RCKS
Rocking C Truck Lines Inc	RCTD
Rockport Carrier Co. Inc.: Company Equipment	RPCC
Rodriguez Expedited Services	RFS
Roehl Transport, Inc.	ROEV
Roll On Transportation, Inc.	RONP
Roly's Trucking Incorporated	ROLY
Romeo Expeditors, Inc.	RMEO
Ron & Sons Trucking, Inc.	RNAS
Rona Transport, LLC	RONR
Rose Marie Incorporated DBA RMI	RSMC
Rosedale Transport Inc	RSDL
Roseland Trucking Inc	RSLA
Ross Express, Inc.	RXIC
Ross Transportation Services, Inc.	N/A
Rounding Third, LLC	N/A
Rowland Transportation Inc.	ROWN
Royal Express, Inc.	RYXP
Royal Freight, LP: RFLP	RFLP
Royal Logistics, Inc.	ROYF
Royal Trucking Company	RYTO
RPM Harbor Services, Inc.*	RQPM
RPM Transportation, Inc.	RPMI
RR Plett Trucking LTD	PTRR
RRR Transportation Co.	RRRP
RSP Express Inc	RSPS
RSVP International LLC	RSVP
RT&T Enterprises Inc	RTTE
Ruan Transportation Management Systems, Inc.: Ruan Transport Corporation	RLCF,RUAN
Ruby Truck Line Inc.	RBYT
Rush Expediting	REFV
Rush Trucking Corporation	RSHQ
Russell Transport Inc.	RULT
RWH Trucking	MMLK
RWI Transportation LLC	RWIS
Ryan Logistics, Inc	RYNH
Ryder Dedicated Transportation Solutions (DTS)	N/A
S & E Transport LLC	N/A
S & H Trucking, Inc: S & H Trucking	SHUK
S & M Transport Incorporated	SMAQ
S & S Transport, Inc	SSTE
S and M Transportation Inc.	SMWH
S&H Express	SXXP
S&J Transportation Services, Inc.	SJTS
S&M Moving Systems: Interstate Fleet - Household Goods	N/A
S&M Moving Systems: Interstate Fleet - Special Products	N/A
S.E.I Trucking	N/A
S.E.I. Trucking	N/A
S.L.S. Delivery Service Inc	SSDL
S.S. Skikos, Inc.: S.S Skikos Enterprises	SSEM
S.S. Skikos, Inc.: S.S. Skikos Trucking, Inc.	SKOG
Sabre Logistics LLC	SBGS
Saddle Creek Transportation Inc.	SDLC
Sadler Brothers Trucking and Leasing Co., Inc.	SBTL
Safeco Trucklines Ltd	SFEO
Safeway, Inc.: Carr-Gottstein Foods Co.	SFEY
Safeway, Inc.: Randall's Food & Drugs, LP	SFEY
Safeway, Inc.: Safeway Trucking Inc.	SFEY
Safeway, Inc.: Safeway, Inc.	SFEY
Safeway, Inc.: The Vons Companies, Inc.	SFEY
Sagamore Express, Inc.	SAGE
Saia Motor Freight Line, LLC	SAIA
Sajacks Transport, Inc	N/A
Salanger Trucking, LLC	N/A
Salson Logistics	SLOJ
Same Day Guaranteed Deliveries - Corp: TL, LTL	N/A
Sapphire Express, Inc.	N/A
Sarabha Transport Ltd	SBHT
Sartin Trucking, LLC	N/A
SAV Express Inc.	SAVT
Say Cargo Express, Inc	SYGE
Scales Express, Inc.	SQES
Scenic Boundaries Transportation Inc.	SBTI
Scheiderer Transport Inc.	SIDE
Schilli Corporation: Bulk Transport Company	BTOM
Schilli Corporation: Contractors Cartage Incorporated	CGTH
Schilli Corporation: Material Delvery Service	MADW
Schilli Specialized Flatbed Division, Inc.	SSFW
Schilli Specialized of Texas, Inc.	SSOL
Schilli Specialized Van Division, Inc.	SSIV
Schneider: Schneider Bulk Division	SNBO
Schneider: Schneider Truckload Division	SCNN
Schuster Company	SHGR
Scotlynn Commodities Inc.	SLYD
SDG Transportation, Inc.	SGXA
SDR Trucking, LLC: SDR Trucking	SDAI
SE Freight Systems Inc.	SEFY
Seaboard Transport	SBDN
Seagate Transportation Services, Inc.: Company Trucks	SGTB
Seaside Refrigerated Transport, Inc.	SESD
Secure Logistics LLC	SCRC
Security Transport, Inc.	SCYP
Selland Auto Transport	SELD
Semo Express LLC	SMOP
Semo Produce Inc.	N/A
Sensenig Trucking, Inc.	SSEG
Sentinel Transportation, LLC: CO Fleet	SETD
Sentinel Transportation, LLC: LO	SETD
Sentinel Transportation, LLC: OTR	SETD
Sentinel Transportation, LLC: Services	SETD
Serpro Logistics	SPOI
Service Bros. Transport	SBBF
Service First Distribution, LLLP	SFDN
Service One Transportation, Inc.	SVOT
Service Transportation, Inc	SVTK
Service Trucking, Inc.	SREI
Seward Motor Freight, Inc.: SMF	SEMF
Sewell Motor Express	SEWE
Sexton Farms LLC	SXTC
SFC Global Supply Chain, Inc: Private Fleet	N/A
Sharkey Transportation, Inc.: Dry Van	SHKE,SHKC,SSHH
