1st Choice Logistics LLC	FCOS
Logistic Dynamics Inc.	LDYN
Logistic Services USA LLC: Logistic Services USA LLC	LGSH
Logistics & Distribution Services, Corp.	LDPR
Logistics Freight Management: Logistics Freight Management	LFMT
Logistics Management Solutions	LMSL
Logistics Planning Services	LPSA
Logistics Plus	LGPL
Logistics Revolution, Inc.	LLNK
Logistics Trans West Inc.: Intermodal Rail	TWLP
LPC Logistics	LKNW
LTI Delivers, Inc	LLBG
LynnCo Supply Chain Solutions, Inc.	LYSI
M&M Logistics Brokerage Inc.	MMLW
M2 Logistics Inc.	MTUS
M33 Integrated	N/A
Magellan Transport Logistics	MGXB
Majestic Transport Inc	MJSF
Malark Logistics	N/A
Mallory Alexander International Logistics	MLYS,MALY
Manna Freight Systems, Inc.	MFSY
Manufacturer's Transportation, Inc.	N/A
Mark Westby & Associates, Inc	WMAI
Matson Logistics: MIOS	MIOS
Mayflower Transit	AERM
McLeod Logistics, LLC: Transportation Brokerage	MLOD
MD Logistics Services a Divivsion of FTI Transport	FTIT
Meadow Lark Agency, Inc	MWLK
MegaCorp Logistics, LLC.	MGPG
Menlo Logistics	MLOG
Midwestern Transit Service Inc	MDWN
Millennium Logistics Management, LLC	MNLG
MIQ Logistics, LLC	MEIQ
Mode Transportation LLC: Logistics Provider	MTLE
Morgan Systems, Inc.	MSFY
MountainMovers Transportation & Logistics	MMCV
MS Brokerage LLC	MBKB
MSB Logistics, Inc.	MSBS
Multi-National Logistics Inc.	MNLM
MW Logistics, LLC: 3PL OTR Dry Reefer	MWLT
MW Logistics, LLC: MW Bulk, LLC	MWBL
MW Logistics, LLC: MW Intermodal, LLC - Multi-modal	MWIR
National Fast Freight	NFFI
National Freight Operations: Logistics Provider	NFOC
National Parcel Logistics, Inc.: Truckload Services	NPLQ
Nationwide Transportation, Inc.	NWDN
Neagle Freight Systems, Inc.	NGFS
Next Exit Logistics LLC	NXLL
Nightline Express Inc	NEXH
Nippon Express USA, Inc.	NIPP
Nolan Transportation Group, Inc. (NTG): NTGO	NTGO
NonstopDelivery, Inc.	NDLV
North American Logistics Group LLC	NALP
North American Logistics Group LLC	NALP
Nova Container Freight Station	NVCF
Nu-Era Logistics Inc.	NUEA
ODW LTS, LLC.	ODWL
Odyssey Logistics & Technology	N/A
OHL: Logistics	OHSQ
Old Frontier Family, Inc.	OFFY
Olympic Logistics Services Inc	OLS
Omni Logistics Inc: OMNG	OMNG
On A Roll Trucking, Inc	ONRL
One Source Freight	OSFJ
OPTECH Enterpise Solutions (OES): Logistics Division	OESC
Options Transportation Inc	N/A
Organic Logistics	ORGO
Our Specialty Transportation Services LLC: Broker	OURS
Palmer Logistics Services	PLSS
Panalpina, Inc.	PALA
Pathfinder Logistics	PFKB
Patterson Companies, Inc.	PFGA
Pax Logistics LLC	PXLT
Paystar Logistics, Inc.	PAYL
Peak Logistics LLC	PKLW
Pearce Worldwide Logistics Inc	PARW
Pegasus Logistics Group	PGAA
Penske Logistics LLC	PSKL
Pepsi Logistics Company, Inc.: PLCI	PLCY
Performance Team	PFYM
Perimeter Global Logistics	PMNI
Perimeter Logistics LLC	PLQL
PFL Logistics, LLC: PFL	PFLY
Piggyback Consolidators Inc.	PGBC
Pilot Freight Services: Freight Forwarder	PAGD
Pin-Point Logistics: Pin-Point Logistics	PPLW
Plains Dedicated LLC	PDLD
Planet Freight, Inc.	PVLG
Platinum Cargo Logistics	PLCG
PLS Logistics Services	PTLC
PNG Logistics Co. LLC	PNGL
PowerOne Logistics LLC: PowerOne Logistics LLC	PWOG
PR Logistics Corp.	N/A
Preferred Freezer Logistics	PFBE
Print Media Logistic Solutions, LLC	RLSY
Private Fleet Backhaul	PFBH
Pro Transportation Services Inc.: Brokerage	PTPQ
Productive Transportation Inc.: Logistics	PDVC
Protrans: 3PL Logistics	PNII
Quarterback Transportation Inc	QRKQ
R.R. Donnelley & Sons Co.: Logistics	DRRY
R2 Logistics, Inc.	RTCY
R2 Trucking Solutions LLC	RTKA
Radiant Global Logistics, dba Adcom, Airgroup &DBA	RLGN
Radius Rail Logistics LLC	RRLA
Railex, LLC: Railex	RAIJ
RBA Transportation Services, Inc.	RBVZ
Re Transportation Inc	RETR
Red Classic Transportation Services, LLC: Red Classic Transportation Services, LLC	RCXV
Redwood Multimodal	TSGN
Reed Transport Services, Inc.	RDRV
Rehmann Transportation Corp: RTC	REHM
Retail Direct Exporters of America: RDEA	RDEA
Reynolds Logistics, Inc.: 256913	RYLI
RFX, Inc.: 43060772	RFXI
RGL 	RSSY
RJ Logistics LLC	RASE
RMX Global Logistics	RMXR
Roadrunner Transportation Services, Inc.	RDFS
Roadrunner Truckload Plus	RRNA
ROAR Logistics Inc.: Intermodal	ROAR
ROAR Logistics Inc.: Truckload	ROAR
Roll on Transportation Company: Logistics	ROOM
RPM Freight Systems	RPMF
RSVP International LLC: Logistics	RSVP
Ryan Transportation Services	RYNK
Ryder Integrated Logistics: Ryder Supply Chain Solutions	N/A
S-2international LLC	SIYC
Saia TL Plus, LLC DBA Linkex	SATP
Satellite Logistics Group,Inc.	SLGC
Saturn Freight Systems	SFGH
Scheduled Transportation Systems Inc.	STYI
Schenker, Inc.	XXXX
Schilli Transportation Services, Inc.: STS	SLPN
